"name","oracle_id","mana_cost","type_line","color_identity","layout","status","reason","semantic_class"
"""Lifetime"" Pass Holder","7bf6f13a-3c90-4bda-bc84-e026828bf4d1","{B}","Creature — Zombie Guest","B","normal","deferred","oracle-needs-explicit-semantics",""
"A Good Day to Pie","92de7cf0-ac3e-46ae-86b2-7d8ebb0276e4","{1}{W}","Instant","W","normal","deferred","spell-needs-explicit-semantics",""
"A Killer Among Us","79d577a8-53c0-4220-bc0e-70764d72d5fd","{4}{G}","Enchantment","G","normal","deferred","noncreature-needs-explicit-semantics",""
"Aang's Iceberg","646f9ad8-9d18-4b42-954a-e21a62e9f0e8","{2}{W}","Enchantment","W","normal","deferred","noncreature-needs-explicit-semantics",""
"Aang's Journey","ddf461b9-a205-4dc7-a9c3-c047b1ff709f","{2}","Sorcery — Lesson","","normal","deferred","spell-needs-explicit-semantics",""
"Aang, Airbending Master","f3176779-74f7-4136-a701-438feeead7a0","{4}{W}","Legendary Creature — Human Avatar Ally","W","normal","deferred","oracle-needs-explicit-semantics",""
"Aang, Swift Savior // Aang and La, Ocean's Fury","cbf09050-39d0-463b-96db-9e22011ae0d8","","Legendary Creature — Human Avatar Ally // Legendary Creature — Avatar Spirit Ally","UW","transform","deferred","double-faced-card-needs-complete-front-semantics",""
"Aang, at the Crossroads // Aang, Destined Savior","96e5d4a1-e59f-4140-823f-a17e15ee5d8d","","Legendary Creature — Human Avatar Ally // Legendary Creature — Avatar Ally","GUW","transform","deferred","double-faced-card-needs-complete-front-semantics",""
"Aang, the Last Airbender","70564c3a-858f-498e-8b92-acb3ca54ae7e","{3}{W}","Legendary Creature — Human Avatar Ally","W","normal","deferred","oracle-needs-explicit-semantics",""
"Aarakocra Sneak","c1882cb4-f69e-441e-8871-743ed636cad0","{3}{U}","Creature — Bird Rogue","U","normal","deferred","oracle-needs-explicit-semantics",""
"Abandon Hope","8adbba6e-03ef-4278-aec5-8a4496b377a8","{X}{1}{B}","Sorcery","B","normal","deferred","spell-needs-explicit-semantics",""
"Abby, Merciless Soldier","e05efd01-0202-4bd6-bac6-c6210819d463","{1}{R}{G}","Legendary Creature — Human Survivor","GR","normal","deferred","oracle-needs-explicit-semantics",""
"Abdel Adrian, Gorion's Ward","cab092f9-b7ff-43b9-935f-310869a4daf8","{4}{W}","Legendary Creature — Human Warrior","W","normal","deferred","oracle-needs-explicit-semantics",""
"Abduction","d0e1904e-1a37-41f6-8582-b9ea794bb886","{2}{U}{U}","Enchantment — Aura","U","normal","deferred","noncreature-needs-explicit-semantics",""
"Aberrant Manawurm","a0657586-0404-4bb0-a92d-25f040d560c1","{3}{G}","Creature — Wurm","G","normal","deferred","oracle-needs-explicit-semantics",""
"Aberrant Mind Sorcerer","753ead8c-f3f8-42fe-931d-79f5ee3ece54","{4}{U}","Creature — Human Elf Shaman Sorcerer","U","normal","deferred","oracle-needs-explicit-semantics",""
"Abeyance","6300de53-6e71-4f0e-87e1-b0acd25c59a8","{1}{W}","Instant","W","normal","deferred","spell-needs-explicit-semantics",""
"Abiding Grace","f4e7bc58-336d-4670-84cb-a46ca1f48671","{2}{W}","Enchantment","W","normal","deferred","noncreature-needs-explicit-semantics",""
"Abigale, Eloquent First-Year","48a773d0-c433-4463-b50f-b6d4604a042c","{W/B}{W/B}","Legendary Creature — Bird Bard","BW","normal","deferred","oracle-needs-explicit-semantics",""
"Abigale, Poet Laureate // Heroic Stanza","2f5f46ed-b8aa-4864-bd20-17281d4632bf","{1}{W}{B} // {1}{W/B}","Legendary Creature — Bird Bard // Sorcery","BW","prepare","deferred","unsupported-mana-cost",""
"Abomination, Terrifying Titan","72101185-4336-480a-b4d7-f8ceb0007a51","{3}{R/G}","Legendary Creature — Gamma Villain","GR","normal","deferred","oracle-needs-explicit-semantics",""
"Absolute Virtue","d4fddf20-6b3a-42c3-a245-002dacbb4725","{6}{W}{U}","Legendary Creature — Avatar Warrior","UW","normal","deferred","oracle-needs-explicit-semantics",""
"Absolver Thrull","a9002245-0f33-48cb-96d3-fde884236eb5","{3}{W}","Creature — Thrull Cleric","W","normal","deferred","oracle-needs-explicit-semantics",""
"Absolving Lammasu","dbedd45e-f76c-4be7-ad89-ff57bed6626f","{4}{W}","Creature — Lammasu","W","normal","deferred","oracle-needs-explicit-semantics",""
"Absorb Identity","4489f362-9b7e-4dc0-a459-a990a487454e","{1}{U}","Instant","U","normal","deferred","spell-needs-explicit-semantics",""
"Absorbing Man","ec8e310f-e871-498f-8d80-c3617c5e1433","{1}{G}{U}","Legendary Creature — Human Villain","GU","normal","deferred","oracle-needs-explicit-semantics",""
"Absorbing Man and Titania","a1afb796-1b0b-4f41-9c8f-5320c9af5989","{3}{R}{G}","Legendary Creature — Human Villain","GR","normal","deferred","oracle-needs-explicit-semantics",""
"Abstergo Entertainment","d06a8026-1657-4404-8dff-64e44f1a14f8","","Legendary Land","","normal","deferred","land-needs-explicit-semantics",""
"Abstract Paintmage","bc899d5c-0a91-4f19-a3e4-3078ae966110","{U}{U/R}{R}","Creature — Djinn Sorcerer","RU","normal","deferred","oracle-needs-explicit-semantics",""
"Abstruse Appropriation","61a23402-3244-4b5e-9134-98e1f82eda65","{2}{W}{B}","Instant","BW","normal","deferred","spell-needs-explicit-semantics",""
"Abu Ja'far","a2404d88-0621-49ae-9908-052c23a96ac6","{W}","Creature — Human","W","normal","deferred","oracle-needs-explicit-semantics",""
"Abuelo's Awakening","2b22cf44-7b03-4919-9812-6796bf193484","{X}{3}{W}","Sorcery","W","normal","deferred","spell-needs-explicit-semantics",""
"Abundant Harvest","34841228-31ac-48ac-b6d6-486b5e1e07dd","{G}","Sorcery","G","normal","deferred","spell-needs-explicit-semantics",""
"Abyssal Harvester","68cc5065-0514-4adf-885f-da554e1db00a","{1}{B}{B}","Creature — Demon Warlock","B","normal","deferred","oracle-needs-explicit-semantics",""
"Abyssal Hunter","b96ccc2f-88e5-4522-924e-76fc76dc3b39","{3}{B}","Creature — Human Assassin","B","normal","deferred","oracle-needs-explicit-semantics",""
"Abzan Beastmaster","aab463bb-e790-403b-a88d-06ef81c7302b","{2}{G}","Creature — Dog Shaman","G","normal","deferred","oracle-needs-explicit-semantics",""
"Academic Probation","400b2e17-ee48-4e22-a8a6-a607c215d1a2","{1}{W}","Sorcery — Lesson","W","normal","deferred","spell-needs-explicit-semantics",""
"Academy Loremaster","7d540860-ae94-4773-a526-aaffca3eb057","{U}{U}","Creature — Human Wizard","U","normal","deferred","oracle-needs-explicit-semantics",""
"Academy Rector","e3c85068-b4b6-40b9-a16c-5c3b2d059ec4","{3}{W}","Creature — Human Cleric","W","normal","deferred","oracle-needs-explicit-semantics",""
"Academy Researchers","df2d2c52-475b-4057-9cf8-7886700f0fae","{1}{U}{U}","Creature — Human Wizard","U","normal","deferred","oracle-needs-explicit-semantics",""
"Acceptable Losses","2b6d95b5-0680-43ae-9ff3-8e287a9eb837","{3}{R}","Sorcery","R","normal","deferred","spell-needs-explicit-semantics",""
"Accumulate Wisdom","a63eb744-71c4-447d-9372-c3a734f022c5","{1}{U}","Instant — Lesson","U","normal","deferred","spell-needs-explicit-semantics",""
"Accursed Witch // Infectious Curse","80b07882-e144-4815-8b6f-04b3ab343d97","","Creature — Human Shaman // Enchantment — Aura Curse","B","transform","deferred","double-faced-card-needs-complete-front-semantics",""
"Acererak the Archlich","31b4e85d-89fc-4712-8f05-7ec097b1d3b6","{2}{B}","Legendary Creature — Zombie Wizard","B","normal","deferred","oracle-needs-explicit-semantics",""
"Achilles Davenport","b921a672-721e-4bd8-a10b-a6de8c13c7d8","{2}{U}{B}","Legendary Creature — Human Assassin","BU","normal","deferred","oracle-needs-explicit-semantics",""
"Acidic Dagger","bf034a20-e362-4f38-9bf9-857777c62598","{4}","Artifact","","normal","deferred","noncreature-needs-explicit-semantics",""
"Acidic Soil","4ccc1ac5-db90-4fc9-9795-7afaf7466c3e","{2}{R}","Sorcery","R","normal","deferred","spell-needs-explicit-semantics",""
"Aclazotz, Deepest Betrayal // Temple of the Dead","fcdfe9d5-2743-4d3e-ab57-bf0f96beaa15","","Legendary Creature — Bat God // Land","B","transform","deferred","double-faced-card-needs-complete-front-semantics",""
"Acolyte of Bahamut","38477748-bc57-449c-afe1-c5f34caf8eff","{1}{G}","Legendary Enchantment — Background","G","normal","deferred","noncreature-needs-explicit-semantics",""
"Acolyte's Reward","944689b2-f9f7-45c3-952c-54287b9824d5","{1}{W}","Instant","W","normal","deferred","spell-needs-explicit-semantics",""
"Acorn Catapult","56d13879-2dc5-4d84-918b-4bd1a5fc2a33","{4}","Artifact","","normal","deferred","noncreature-needs-explicit-semantics",""
"Acquire","f1c3d749-5cdb-4af2-967f-6413d6cb04fe","{3}{U}{U}","Sorcery","U","normal","deferred","spell-needs-explicit-semantics",""
"Acquisition Octopus","234ff22f-2ff1-4a73-a7c5-e9c53557c4c6","{2}{U}","Artifact Creature — Equipment Octopus","U","normal","deferred","oracle-needs-explicit-semantics",""
"Acquisitions Expert","07e5f59e-3a98-4e01-a368-0be60e0463ba","{1}{B}","Creature — Human Rogue","B","normal","deferred","oracle-needs-explicit-semantics",""
"Acrobatic Cheerleader","d8ce3f18-26fe-47e8-be8b-0d89d7de7038","{1}{W}","Creature — Human Survivor","W","normal","deferred","oracle-needs-explicit-semantics",""
"Act of Authority","c12b8e31-5702-4d3c-80c9-56c87e50679d","{1}{W}{W}","Enchantment","W","normal","deferred","noncreature-needs-explicit-semantics",""
"Act of Heroism","25edb501-11b5-4617-8a65-2eb4869cccd5","{1}{W}","Instant","W","normal","deferred","spell-needs-explicit-semantics",""
"Activated Sleeper","e12da2a1-e390-4487-b154-69e439cb7b05","{2}{B}","Creature — Phyrexian Shapeshifter","B","normal","deferred","oracle-needs-explicit-semantics",""
"Ad Nauseam","981b0e21-e5e6-4a1e-bfde-679d56623f7f","{3}{B}{B}","Instant","B","normal","deferred","spell-needs-explicit-semantics",""
"Adagia, Windswept Bastion","70d35dbd-1d91-4a2a-a643-6870d168f4f5","","Land — Planet","W","normal","deferred","land-needs-explicit-semantics",""
"Adamaro, First to Desire","18f34bfd-7675-49df-91ea-695c510cd3c3","{1}{R}{R}","Legendary Creature — Spirit","R","normal","deferred","dynamic-power-toughness",""
"Adaptive Automaton","53c730c6-2f8c-4af8-b400-b9d573a71e60","{3}","Artifact Creature — Construct","","normal","deferred","oracle-needs-explicit-semantics",""
"Adarkar Unicorn","287cd5e8-51e2-42a4-a139-c112ff89706d","{1}{W}{W}","Creature — Unicorn","UW","normal","deferred","oracle-needs-explicit-semantics",""
"Adarkar Windform","dd66b8ab-14a9-455b-98f6-5356df72a522","{4}{U}","Snow Creature — Illusion","U","normal","deferred","oracle-needs-explicit-semantics",""
"Adrenaline Jockey","c3dc6b0e-8790-4bd3-b166-63b2dc77488f","{2}{R}","Creature — Minotaur Pilot","R","normal","deferred","oracle-needs-explicit-semantics",""
"Adrestia","94779ca4-c202-4163-9c77-1036921a34bc","{3}","Legendary Artifact — Vehicle","","normal","deferred","noncreature-needs-explicit-semantics",""
"Advanced Reconstruction","f00bc101-8082-4459-b987-f0c4b7a12344","{3}{R}","Enchantment — Class","R","class","deferred","complex-layout",""
"Advancing the Spirit","c9949a5a-13d4-41ca-80fe-902b0ae71204","{2}{G}","Enchantment","G","normal","deferred","noncreature-needs-explicit-semantics",""
"Adventurers' Guildhouse","bf29b215-d4f5-4641-97ef-b65d4c463e72","","Land","","normal","deferred","land-needs-explicit-semantics",""
"Adventurous Eater // Have a Bite","02125db4-4507-467a-ac0c-406de2c7d533","{2}{B} // {B}","Creature — Human Warlock // Sorcery","B","prepare","deferred","unsupported-mana-cost",""
"Advice from the Fae","5063f015-bd1c-4e14-9888-63e202be2ac8","{2/U}{2/U}{2/U}","Sorcery","U","normal","deferred","spell-needs-explicit-semantics",""
"Aegar, the Freezing Flame","592d847e-e3f3-425d-89f9-01ab533ad581","{1}{U}{R}","Legendary Creature — Giant Wizard","RU","normal","deferred","oracle-needs-explicit-semantics",""
"Aegis of Honor","ea93acc8-0c1f-42a2-bed3-f385d210d58f","{W}","Enchantment","W","normal","deferred","noncreature-needs-explicit-semantics",""
"Aegis of the Legion","99eb05eb-11ef-456f-9132-166a0691dd04","{R}{W}","Artifact — Equipment","RW","normal","deferred","noncreature-needs-explicit-semantics",""
"Aegis of the Meek","0cf78877-bf08-413c-8ecb-8c3265ac1c4a","{3}","Artifact","","normal","deferred","noncreature-needs-explicit-semantics",""
"Aerial Modification","290cd0b1-55d6-4b30-962d-075a6f75d562","{4}{W}","Enchantment — Aura","W","normal","deferred","noncreature-needs-explicit-semantics",""
"Aerialephant","20046568-b067-49fb-93b4-2ee86421f14b","{3}{W}","Creature — Elephant Performer","W","normal","deferred","oracle-needs-explicit-semantics",""
"Aerith Rescue Mission","14c3e48b-4c4e-4787-8c50-0e3aee19aa23","{3}{W}","Sorcery","W","normal","deferred","spell-needs-explicit-semantics",""
"Aether Barrier","0fe602b7-9f88-4d3d-af24-7790df867ed5","{2}{U}","Enchantment","U","normal","deferred","noncreature-needs-explicit-semantics",""
"Aether Burst","1e33f39b-a61a-4a09-a541-16cc1bd53d02","{1}{U}","Instant","U","normal","deferred","spell-needs-explicit-semantics",""
"Aether Flash","a3c35742-e306-49b6-b042-db4f685c6f86","{2}{R}{R}","Enchantment","R","normal","deferred","noncreature-needs-explicit-semantics",""
"Aether Gust","ecf1e378-d6bc-4ee0-800e-eb8a955d781f","{1}{U}","Instant","U","normal","deferred","spell-needs-explicit-semantics",""
"Aether Meltdown","433a2880-d989-4c40-99fa-0896de341b88","{1}{U}","Enchantment — Aura","U","normal","deferred","noncreature-needs-explicit-semantics",""
"Aether Revolt","b73661a6-d136-4c65-804c-461e83484f4b","{2}{R}{R}","Enchantment","R","normal","deferred","unbound-event-amount",""
"Aether Rift","2577ef8e-d85e-47af-ac34-629f31992751","{1}{R}{G}","Enchantment","GR","normal","deferred","noncreature-needs-explicit-semantics",""
"Aether Searcher","80ea63fd-691a-45ba-a4bf-862e5ec2922d","{7}","Artifact Creature — Construct","","normal","deferred","oracle-needs-explicit-semantics",""
"Aether Spike","e4a85647-0b8c-40b2-a5d5-43c78877ce36","{1}{U}","Instant","U","normal","deferred","spell-needs-explicit-semantics",""
"Aether Syphon","d8956775-fda8-475d-9e8a-b61196a958ea","{1}{U}{U}","Artifact","U","normal","deferred","noncreature-needs-explicit-semantics",""
"Aether Tide","2fbf95b4-bcf4-4b5e-b5dc-0294f2b48d3e","{X}{U}","Sorcery","U","normal","deferred","spell-needs-explicit-semantics",""
"Aether Tradewinds","3a0dd318-9523-4740-b0aa-a911032e3851","{2}{U}","Instant","U","normal","deferred","spell-needs-explicit-semantics",""
